zone_id,borough,Zone,area_km2,neighbor_count
2,Queens,Jamaica Bay,13.369686458301913,2
3,Bronx,Allerton/Pelham Gardens,2.9436524679340605,6
4,Manhattan,Alphabet City,0.7454321714279167,3
5,Staten Island,Arden Heights,4.6837147909772465,3
6,Staten Island,Arrochar/Fort Wadsworth,3.802981839081116,4
7,Queens,Astoria,3.654917202743599,7
8,Queens,Astoria Park,0.249241417446333,2
9,Queens,Auburndale,3.1739724041678423,5
10,Queens,Baisley Park,4.09159866852193,5
11,Brooklyn,Bath Beach,1.9078406565200574,2
12,Manhattan,Battery Park,0.10122450470911243,3
13,Manhattan,Battery Park City,0.45735573240758154,3
14,Brooklyn,Bay Ridge,6.235578695124995,3
15,Queens,Bay Terrace/Fort Totten,4.301034346722722,3
16,Queens,Bayside,7.506312067340849,6
17,Brooklyn,Bedford,3.031422865650701,6
18,Bronx,Bedford Park,1.3935193695355845,5
19,Queens,Bellerose,5.127848532101365,4
20,Bronx,Belmont,1.2594782306144143,6
21,Brooklyn,Bensonhurst East,3.3238269666314153,5
22,Brooklyn,Bensonhurst West,4.335686756840771,4
23,Staten Island,Bloomfield/Emerson Hill,19.650232512401978,5
24,Manhattan,Bloomingdale,0.3929924624243455,4
25,Brooklyn,Boerum Hill,1.1655995608686658,7
26,Brooklyn,Borough Park,5.017250520391315,8
27,Queens,Breezy Point/Fort Tilden/Riis Beach,6.79058110936166,1
28,Queens,Briarwood/Jamaica Hills,2.7325519217282808,6
29,Brooklyn,Brighton Beach,1.5961805232002049,5
30,Queens,Broad Channel,1.370916217191718,1
31,Bronx,Bronx Park,3.12710800292713,8
32,Bronx,Bronxdale,1.4125915659969313,4
33,Brooklyn,Brooklyn Heights,1.0235912790366777,5
34,Brooklyn,Brooklyn Navy Yard,1.0398504982901546,5
35,Brooklyn,Brownsville,3.040809581664873,5
36,Brooklyn,Bushwick North,2.3243920028408613,4
37,Brooklyn,Bushwick South,4.243044290710814,7
38,Queens,Cambria Heights,3.0729208385694045,4
39,Brooklyn,Canarsie,7.624514210969914,5
40,Brooklyn,Carroll Gardens,1.0228329647053729,5
41,Manhattan,Central Harlem,1.3408834585972256,6
42,Manhattan,Central Harlem North,2.3598595856872717,5
43,Manhattan,Central Park,3.5588673516593676,10
44,Staten Island,Charleston/Tottenville,13.54668478089491,3
45,Manhattan,Chinatown,0.692161675756968,5
46,Bronx,City Island,1.6120632867807838,0
47,Bronx,Claremont/Bathgate,1.52840896652016,7
48,Manhattan,Clinton East,0.8837782145897634,7
49,Brooklyn,Clinton Hill,1.90728918382004,6
50,Manhattan,Clinton West,0.8239190239604832,3
51,Bronx,Co-Op City,3.704682087997131,2
52,Brooklyn,Cobble Hill,0.4243237408693729,4
53,Queens,College Point,4.702414976251254,2
54,Brooklyn,Columbia Street,0.5772511652163277,4
55,Brooklyn,Coney Island,4.4107954850292765,2
56,Queens,Corona,1.6968218732736924,5
57,Queens,Corona,0.1690478872753016,2
58,Bronx,Country Club,1.2359566575300482,2
59,Bronx,Crotona Park,0.5888982111001984,4
60,Bronx,Crotona Park East,1.5158241278296096,7
61,Brooklyn,Crown Heights North,4.795547309954745,8
62,Brooklyn,Crown Heights South,1.485845104695154,5
63,Brooklyn,Cypress Hills,3.315587278557912,7
64,Queens,Douglaston,8.805917600414816,4
65,Brooklyn,Downtown Brooklyn/MetroTech,0.7678036232172855,4
66,Brooklyn,DUMBO/Vinegar Hill,0.7124911435146809,4
67,Brooklyn,Dyker Heights,3.7048672089446284,5
68,Manhattan,East Chelsea,1.0417018341293216,6
69,Bronx,East Concourse/Concourse Village,1.864503992406096,6
70,Queens,East Elmhurst,1.8327006644948611,4
71,Brooklyn,East Flatbush/Farragut,3.593518213862003,5
72,Brooklyn,East Flatbush/Remsen Village,3.038586950607348,8
73,Queens,East Flushing,2.7364124661344635,4
74,Manhattan,East Harlem North,2.27590390435027,4
75,Manhattan,East Harlem South,1.5469536170996798,6
76,Brooklyn,East New York,10.883687816152097,7
77,Brooklyn,East New York/Pennsylvania Avenue,1.8020955129102525,3
78,Bronx,East Tremont,1.78979693850529,6
79,Manhattan,East Village,1.0121885614569346,6
80,Brooklyn,East Williamsburg,3.6386597402915166,9
81,Bronx,Eastchester,3.739961361939184,5
82,Queens,Elmhurst,3.035295802532949,7
83,Queens,Elmhurst/Maspeth,2.039789408019105,4
84,Staten Island,Eltingville/Annadale/Prince's Bay,13.086568801979313,5
85,Brooklyn,Erasmus,1.3491587576775705,3
86,Queens,Far Rockaway,5.046169510046894,1
87,Manhattan,Financial District North,0.38858866411224013,3
88,Manhattan,Financial District South,0.243554316867137,3
89,Brooklyn,Flatbush/Ditmas Park,4.204235780508253,9
90,Manhattan,Flatiron,0.5188027373104965,4
91,Brooklyn,Flatlands,5.048512773895406,6
92,Queens,Flushing,3.5157751123811964,7
93,Queens,Flushing Meadows-Corona Park,5.088341124212345,12
94,Bronx,Fordham South,0.5859681583010268,6
95,Queens,Forest Hills,5.373883354049231,6
96,Queens,Forest Park/Highland Park,5.139271112847494,9
97,Brooklyn,Fort Greene,1.5328599151837348,7
98,Queens,Fresh Meadows,4.556768623264468,5
99,Staten Island,Freshkills Park,10.797747028252601,6
100,Manhattan,Garment District,0.3513859525391509,5
101,Queens,Glen Oaks,4.2424479482680635,2
102,Queens,Glendale,2.783478497115847,5
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,0.05942290179472586,0
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,0.11187939404391867,0
